id;short_name;name;country;max_distance_to_land;lat_min_box;lat_max_box;lon_min_box;lon_max_box;lat.centre;lon.centre;lwl_data;lwe_data;lswt_data;lic_data;lwlr_data;mean_depth;surface_area;volume;phosphorous
300014499;HYLA00014499;None;Albania;2.4;40.8458;41.0125;19.4042;19.5708;40.9292;19.4958;False;False;True;True;True;;;;
488;GLWD00000488;Scutari;"Albania;Montenegro";6.3;42.0125;42.3875;19.0208;19.5375;42.1931;19.2931;False;False;True;True;True;10;369.7;2.6;
526;GLWD00000526;Ohrid;"Albania;North Macedonia";7.1;40.8625;41.2125;20.5875;20.8458;41.0264;20.7208;False;False;True;True;True;145;348.8;50.7;
690;GLWD00000690;Prespa;"Albania;North Macedonia;Greece";4.8;40.7292;41.0458;20.8625;21.1542;40.8875;21.0375;True;False;True;True;True;18;274;4.8;
300013969;HYLA00013969;None;Austria;1.5;47.7542;47.9875;13.4458;13.6292;47.8208;13.5292;False;False;True;True;True;;;;
352;GLWD00000352;Bodensee;"Austria;Switzerland;Germany";6;47.4375;47.8542;8.7958;9.7875;47.5431;9.5097;True;False;True;True;True;100;476;47600;
2425;GLWD00002425;Narach;Belarus;3.7;54.7708;54.9458;26.6375;26.8958;54.8514;26.7764;False;False;True;True;True;;;;
300013159;HYLA00013159;None;Belarus;2.6;55.9708;56.1208;28.0125;28.2625;56.0458;28.1792;False;False;True;True;True;;;;
300013263;HYLA00013263;None;Belarus;1.5;55.3208;55.4292;29.9458;30.0958;55.3792;30.0292;False;False;True;True;True;;;;
300013306;HYLA00013306;None;Belarus;1.6;54.8708;55.0042;26.7792;26.9458;54.9375;26.8458;False;False;True;True;True;;;;
300013193;HYLA00013193;None;"Belarus;Russian Federation";1.6;55.7708;55.8875;30.3208;30.4542;55.8292;30.3875;False;False;True;True;True;;;;
300014333;HYLA00014333;None;Bosnia and Herzegovina;3.1;43.5958;43.7375;16.9292;17.1125;43.6625;17.0208;False;False;True;True;True;;;;
300014434;HYLA00014434;None;Bulgaria;1.5;41.9042;42.0542;24.1042;24.2458;41.9625;24.1792;False;False;True;True;True;;;;
300013921;HYLA00013921;None;Czechia;1.5;48.5875;48.8208;13.9375;14.2625;48.6875;14.0875;False;False;True;True;True;;;;
140;GLWD00000140;Limfjorden;Denmark;6.5;56.4292;57.1458;8.3625;10.0125;56.9625;9.1069;True;False;True;True;True;;;;
2532;GLWD00002532;Nissum-Fjord;Denmark;2.4;56.2542;56.4708;8.0875;8.3292;56.3486;8.1986;False;False;True;True;True;;;;
300001174;HYLA00001174;None;Denmark;5.4;55.8042;56.1542;8.0875;8.4125;56.0375;8.2125;False;False;True;True;True;;;;
300013241;HYLA00013241;None;Denmark;1.6;55.5125;55.6375;11.2208;11.3542;55.5792;11.2875;False;False;True;True;True;;;;
679;GLWD00000679;Võrtsjärv;Estonia;6.2;58.0292;58.4458;25.8792;26.1958;58.3042;26.0347;False;False;True;True;True;;;;
157;GLWD00000157;Paijanne;Finland;3.8;61.1375;62.2792;25.1375;25.9958;61.4958;25.3986;False;False;True;True;True;15.48;863.3;13144.9;
195;GLWD00000195;Pielinen;Finland;4.1;62.7375;63.5875;29.0125;30.4125;63.2097;29.8764;False;False;True;True;True;10.39;894.2;8998.59;
202;GLWD00000202;Oulu;Finland;6;64.0792;64.6125;26.6875;28.0542;64.2986;27.2153;True;False;True;True;True;;;;
346;GLWD00000346;Keitele;Finland;2.2;62.5292;63.2375;25.4958;26.4875;62.8764;25.9875;False;False;True;True;True;;;;
369;GLWD00000369;Nasijarvi;Finland;2.9;61.4708;62.2792;23.5375;24.5042;61.5792;23.7403;False;False;True;True;True;;;;
376;GLWD00000376;Lokka-Reservoir;Finland;4.4;67.7792;68.1458;27.2208;28.1542;67.9431;27.5708;False;False;True;True;True;3.8;315.4;1198.52;
422;GLWD00000422;Onkivesi;Finland;2.4;62.2958;62.9875;27.5625;28.0958;62.8431;27.8181;False;False;True;True;True;;113.6;;
530;GLWD00000530;Puulavesi;Finland;2.1;61.6292;62.0458;26.2875;27.0125;61.8375;26.6792;False;False;True;True;True;9.3;330.8;3058.71;
657;GLWD00000657;Höytiäinen;Finland;3.2;62.6458;63.0875;29.3958;29.8708;62.7347;29.7181;False;False;True;True;True;11.17;282.6;3191.9;
1061;GLWD00001061;Nilakka;Finland;2.3;62.9208;63.3208;26.1958;26.7208;63.1403;26.5597;False;False;True;True;True;;168.5;;
1201;GLWD00001201;Vanajavesi;Finland;3.4;61.0458;61.3125;23.7292;24.4292;61.1542;24.2375;True;False;True;True;True;;;;
1240;GLWD00001240;Pyhäjärvi;Finland;3.9;60.8625;61.1375;22.1125;22.4542;60.9931;22.3097;False;False;True;True;True;;;;
1246;GLWD00001246;Lappajärvi;Finland;3.5;63.0125;63.2958;23.5042;23.8292;63.1236;23.7014;False;False;True;True;True;6.88;145.5;1005.47;
2054;GLWD00002054;Vuohijärvi;Finland;1.9;61.0542;61.3125;26.5625;26.8375;61.2153;26.6736;False;False;True;True;True;16.28;86.2;1403.84;
300001112;HYLA00001112;Koitere;Finland;2.2;62.8375;63.1042;30.5042;30.9125;63.0319;30.7292;False;False;True;True;True;6.57;163.7;1098.29;
300001141;HYLA00001141;None;Finland;2.1;61.2208;61.4792;23.9542;24.3292;61.2875;24.1375;False;False;True;True;True;;;;
300011716;HYLA00011716;None;Finland;1.5;66.4708;66.7292;24.2792;24.4792;66.5681;24.3931;False;False;True;True;True;;;;
300011834;HYLA00011834;None;Finland;2.2;65.7042;65.9042;28.3375;28.5958;65.7958;28.4458;False;False;True;True;True;;;;
300012019;HYLA00012019;None;Finland;2.7;64.0875;64.3042;27.7375;28.2875;64.1653;28.0958;False;False;True;True;True;;;;
300012023;HYLA00012023;None;Finland;2.1;64.1542;64.3292;29.3458;29.8292;64.2319;29.5681;False;False;True;True;True;;;;
300012163;HYLA00012163;None;Finland;1.6;63.2792;63.4792;25.3042;25.5875;63.4042;25.4292;False;False;True;True;True;;;;
300012266;HYLA00012266;None;Finland;1.5;62.6125;62.8292;25.3208;25.5958;62.7236;25.4681;False;False;True;True;True;;;;
300012424;HYLA00012424;None;Finland;1.6;61.9458;62.0875;27.2875;27.4542;62.0042;27.3792;False;False;True;True;True;;;;
300012614;HYLA00012614;None;Finland;1.7;60.9042;61.0792;26.3292;26.6125;61.0181;26.4847;False;False;True;True;True;;;;
300012628;HYLA00012628;None;Finland;1.5;60.8625;60.9792;26.3542;26.5042;60.9208;26.4292;False;False;True;True;True;;;;
144;GLWD00000144;Inari;"Finland;Russian Federation";4.1;68.6792;69.4042;26.9958;28.6875;69.0486;27.7681;True;False;True;True;True;;;;
1216;GLWD00001216;Berre;France;3.9;43.3625;43.5958;4.9625;5.2625;43.4403;5.1042;False;False;True;True;True;;;;
3025;GLWD00003025;Hourtin;France;2.3;45.0292;45.2458;-1.1792;-1.0375;45.1597;-1.1042;False;False;True;True;True;;;;
3196;GLWD00003196;Cazaux-Et-De-Sanguinet;France;3.4;44.3958;44.5625;-1.2375;-1.0375;44.4903;-1.1569;False;False;True;True;True;;;;
300014167;HYLA00014167;None;France;1.5;45.6125;45.8458;5.7792;5.9292;45.7458;5.8625;False;False;True;True;True;;;;
300014353;HYLA00014353;Thau;France;2.3;43.2875;43.5042;3.4958;3.7375;43.4042;3.6181;False;False;True;True;True;;;;
1649;GLWD00001649;Müritz;Germany;3.5;53.2458;53.5542;12.5458;12.8208;53.4069;12.7292;False;False;True;True;True;6.5;0.718;109.21;
2317;GLWD00002317;Chiemsee;Germany;3.2;47.7958;47.9708;12.3125;12.5708;47.8903;12.4681;False;False;True;True;True;25.6;79.9;2.048;
300013383;HYLA00013383;Selenter See;Germany;1.7;54.2458;54.3625;10.3458;10.5542;54.3042;10.4542;False;False;True;True;True;;;;
300013431;HYLA00013431;Kummerower See;Germany;1.8;53.7292;53.8875;12.7625;12.9542;53.8042;12.8458;False;False;True;True;True;8.1;32.5;0.263;
300013454;HYLA00013454;None;Germany;2.2;53.5625;53.8208;11.3875;11.5625;53.7208;11.4625;False;False;True;True;True;;;;
300013475;HYLA00013475;None;Germany;1.9;53.4458;53.5625;12.4708;12.6542;53.5042;12.5792;False;False;True;True;True;;;;
300013595;HYLA00013595;None;Germany;1.5;52.4542;52.5792;8.2708;8.3958;52.5208;8.3375;False;False;True;True;True;;;;
300013601;HYLA00013601;Steinhuder Meer;Germany;2.2;52.4125;52.5375;9.2375;9.4208;52.4708;9.3292;False;False;True;True;True;1.35;0.042;29.1;
300013962;HYLA00013962;None;Germany;2.1;47.8958;48.1125;11.0625;11.2042;47.9875;11.1292;False;False;True;True;True;;;;
300013966;HYLA00013966;Starnberger See;Germany;2.1;47.7875;48.0375;11.2292;11.3958;47.9014;11.3069;False;False;True;True;True;53.2;56.4;2.999;
300013992;HYLA00013992;None;Germany;1.5;47.5292;47.6542;11.2708;11.4208;47.5875;11.3458;False;False;True;True;True;;;;
300165102;HYLA00165102;Großer Müggelsee;Germany;1.2;52.3875;52.4875;13.5792;13.7125;52.4375;13.6458;False;False;True;True;True;4.85;7.2;0.035;
1913;GLWD00001913;Trichonis;Greece;2.9;38.4708;38.6458;21.4042;21.6958;38.5736;21.5625;False;False;True;True;True;;;;
300014478;HYLA00014478;None;Greece;2.8;41.1042;41.2958;23.0458;23.2625;41.2042;23.1375;False;False;True;True;True;;;;
300014514;HYLA00014514;Volvi;Greece;2.4;40.5958;40.7375;23.3125;23.6375;40.6569;23.5486;False;False;True;True;True;;;;
310;GLWD00000310;Balaton;Hungary;6;46.6708;47.0958;17.2042;18.2042;46.9792;18.0736;False;False;True;True;True;3.25;605;1966.25;
1115;GLWD00001115;Neusiedl;"Hungary;Austria";3.6;47.6292;47.9708;16.6458;16.8875;47.8792;16.7875;False;False;True;True;True;1.1;321;215;
1057;GLWD00001057;Corrib;Ireland;2.6;53.2792;53.5708;-9.5792;-9.0042;53.4653;-9.2903;False;False;True;True;True;;;;
