id,short_name,name,country,max_distance_to_land,lat_min_box,lat_max_box,lon_min_box,lon_max_box,lat centre,lon centre,lwl_data,lwe_data,lswt_data,lic_data,lwlr_data
2,GLWD00000002,Superior,United States;Canada,73.5,46.3708,49.0542,-92.2542,-84.3125,47.9625,-87.0431,True,False,True,True,True
3,GLWD00000003,Victoria,Tanzania United Republic of;Uganda;Kenya,84.1,-3.0542,0.5292,31.5625,34.9042,-0.8764,33.1431,True,False,True,True,True
4,GLWD00000004,Large Aral Sea,Uzbekistan;Kazakhstan,51,43.4708,46.8208,58.1708,61.8708,44.6486,59.8347,True,False,True,True,True
5,GLWD00000005,Huron,Canada;United States,73.3,42.9625,46.5875,-84.8042,-79.6292,44.7208,-82.3458,True,False,True,True,True
6,GLWD00000006,Michigan,United States,63.8,41.5792,46.1375,-88.0875,-84.7208,42.6042,-87.0153,True,False,True,True,True
7,GLWD00000007,Tanganyika,Zambia;Congo The Democratic Republic of the;Burundi;Tanzania United Republic of,34.1,-8.8458,-3.3042,29.0208,31.2375,-6.8014,30.0375,True,False,True,True,True
8,GLWD00000008,Baikal,Russian Federation,33.7,51.4208,55.9042,103.6625,110.0042,54.1736,108.9736,True,False,True,True,True
9,GLWD00000009,Great Bear,Canada,39.4,64.7542,67.0792,-125.1792,-117.4208,66.0125,-120.3764,True,False,True,True,True
10,GLWD00000010,Malawi,Malawi;Tanzania United Republic of;Mozambique,34.8,-14.4875,-9.4542,33.8542,35.3292,-11.6042,34.6375,True,False,True,True,True
11,GLWD00000011,Great Slave,Canada,44.6,60.7875,63.4042,-117.6625,-108.8708,61.3347,-114.7958,True,False,True,True,True
12,GLWD00000012,Erie,United States;Canada,45.6,41.3375,43.1208,-83.5125,-78.8208,42.2514,-81.1292,True,False,True,True,True
13,GLWD00000013,Winnipeg,Canada,40.1,50.2792,53.9208,-99.3125,-96.1792,53.4153,-98.4236,True,False,True,True,True
14,GLWD00000014,Chad,Nigeria;Niger;Chad,6.4,12.4458,14.2375,13.1708,15.3708,13.1319,14.4653,True,True,True,True,True
15,GLWD00000015,Ontario,Canada;United States,36.1,43.1292,44.5875,-79.9292,-75.6958,43.6653,-77.7625,True,True,True,True,True
16,GLWD00000016,Ladoga,Russian Federation,56.3,59.8625,61.8208,29.7875,33.0042,60.7653,31.6486,True,False,True,True,True
17,GLWD00000017,Balkhash,Kazakhstan,25.4,44.9458,46.8708,73.3625,79.2792,46.2903,74.4764,True,False,True,True,True
18,GLWD00000018,Onegh,Russian Federation,25.1,60.8542,62.9542,34.1792,36.5125,61.6625,35.5319,True,False,True,True,True
19,GLWD00000019,Itaparica,Brazil,8.8,-11.4458,-9.0875,-43.2792,-40.7292,-9.9042,-42.1986,True,True,True,True,True
20,GLWD00000020,Titicaca,Bolivia Plurinational State of;Peru,23.4,-16.6292,-15.1958,-70.0542,-68.5375,-15.7681,-69.4569,True,True,True,True,True
21,GLWD00000021,Nicaragua,Nicaragua,25.1,10.9875,12.1542,-85.9875,-84.7375,11.3569,-85.2431,True,False,True,True,True
22,GLWD00000022,Turkana,Kenya;Ethiopia,21.9,2.3542,4.6875,35.7875,36.7458,3.7764,36.0486,True,True,True,True,True
23,GLWD00000023,Athabasca,Canada,20.6,58.5542,59.6625,-111.3375,-105.9458,59.3319,-109.4181,True,False,True,True,True
24,GLWD00000024,Volta,Ghana,10.4,6.0708,9.0625,-1.5458,0.3542,6.5597,0.0292,True,False,True,True,True
25,GLWD00000025,Issyk-kul,Kyrgyzstan,26.9,42.1208,42.7875,76.1458,78.3625,42.4236,77.3653,True,False,True,True,True
26,GLWD00000026,Great Salt,United States,15,40.6125,41.7542,-113.1542,-111.8625,41.2847,-112.6875,True,False,True,True,True
27,GLWD00000027,Michikamau-Lobstick,Canada,10.1,53.6542,54.7375,-65.6458,-63.0125,54.0153,-63.9986,False,False,True,True,True
28,GLWD00000028,Reindeer,Canada,8.2,56.1208,58.2375,-103.3625,-101.1708,57.5542,-102.2014,True,False,True,True,True
29,GLWD00000029,Vanern,Sweden,20.3,58.3125,59.4542,12.2542,14.1875,59.0514,13.5931,True,True,True,True,True
30,GLWD00000030,Albert,Uganda;Congo The Democratic Republic of the,20.9,0.9625,2.4208,30.3208,31.5208,1.7764,31.0819,True,True,True,True,True
